POSTCODE,year,occurence
3000,2011,"21,862"
3002,2011,917
3003,2011,476
3004,2011,167
3006,2011,"2,041"
3008,2011,941
3011,2011,"3,413"
3012,2011,"2,390"
3013,2011,977
3015,2011,"1,098"
3016,2011,"1,207"
3018,2011,996
3019,2011,"1,094"
3020,2011,"5,710"
3021,2011,"4,313"
3022,2011,575
3023,2011,"4,264"
3024,2011,"1,202"
3025,2011,"1,120"
3026,2011,517
3027,2011,164
3028,2011,"1,996"
3029,2011,"5,381"
3030,2011,"5,889"
3031,2011,"2,113"
3032,2011,"3,114"
3033,2011,636
3034,2011,415
3036,2011,265
3037,2011,"2,387"
3038,2011,"1,790"
3039,2011,"1,188"
3040,2011,"1,350"
3041,2011,607
3042,2011,"1,334"
3043,2011,"1,570"
3044,2011,"1,237"
3045,2011,523
3046,2011,"2,314"
3047,2011,"3,607"
3048,2011,"1,375"
3049,2011,408
3051,2011,"1,682"
3052,2011,793
3053,2011,"1,659"
3054,2011,516
3055,2011,586
3056,2011,"2,301"
3057,2011,594
3058,2011,"3,569"
3059,2011,476
3060,2011,"1,022"
3061,2011,"1,246"
3062,2011,164
3063,2011,19
3064,2011,"3,803"
3065,2011,"2,307"
3066,2011,"1,528"
3067,2011,884
3068,2011,"1,386"
3070,2011,"1,718"
3071,2011,"1,196"
3072,2011,"4,458"
3073,2011,"3,448"
3074,2011,"2,078"
3075,2011,"1,413"
3076,2011,"2,752"
3078,2011,636
3079,2011,677
3081,2011,"1,537"
3082,2011,"1,796"
3083,2011,"1,713"
3084,2011,"1,897"
3085,2011,536
3087,2011,513
3088,2011,"1,427"
3089,2011,478
3090,2011,59
3091,2011,38
3093,2011,108
3094,2011,288
3095,2011,809
3096,2011,47
3097,2011,38
3099,2011,212
3101,2011,961
3102,2011,199
3103,2011,505
3104,2011,516
3105,2011,365
3106,2011,492
3107,2011,500
3108,2011,"1,499"
3109,2011,765
3111,2011,208
3113,2011,140
3114,2011,105
3115,2011,66
3116,2011,473
3121,2011,"4,135"
3122,2011,"1,595"
3123,2011,421
3124,2011,"1,036"
3125,2011,594
3126,2011,248
3127,2011,574
3128,2011,"1,623"
3129,2011,380
3130,2011,"1,020"
3131,2011,998
3132,2011,652
3133,2011,526
3134,2011,"3,176"
3135,2011,743
3136,2011,"1,801"
3137,2011,742
3138,2011,956
3139,2011,369
3140,2011,"1,296"
3141,2011,"1,926"
3142,2011,733
3143,2011,398
3144,2011,970
3145,2011,"1,631"
3146,2011,652
3147,2011,602
3148,2011,736
3149,2011,"1,585"
3150,2011,"1,826"
3151,2011,324
3152,2011,"1,919"
3153,2011,"1,629"
3154,2011,159
3155,2011,"1,609"
3156,2011,"1,850"
3158,2011,328
3159,2011,65
3160,2011,481
3161,2011,562
3162,2011,937
3163,2011,"1,020"
3165,2011,661
3166,2011,"1,371"
3167,2011,381
3168,2011,"1,679"
3169,2011,763
3170,2011,837
3171,2011,"1,799"
3172,2011,753
3173,2011,"1,220"
3174,2011,"2,384"
3175,2011,"8,472"
3177,2011,951
3178,2011,"1,180"
3179,2011,303
3180,2011,400
3181,2011,"2,928"
3182,2011,"4,279"
3183,2011,955
3184,2011,806
3185,2011,942
3186,2011,"1,091"
3187,2011,449
3188,2011,899
3189,2011,"1,049"
3190,2011,717
3191,2011,775
3192,2011,"1,683"
3193,2011,536
3194,2011,745
3195,2011,"2,018"
3196,2011,"1,238"
3197,2011,676
3198,2011,"1,641"
