"","POSTCODE","Suburb","Top country of birth","rang0n4","rang5n9","rang10n14","rang15n19","rang20n24","rang25n44","rang45n64","rang65n69","rang70n74","rang75n79","rang80n84","above85","total","Born overseas, %","Born in non-English speaking country, %","Top country of birth__1","Top country of birth, persons","Top country of birth, %","Children","Adult","Elderly"
"1",3000,"Melbourne","China",2.3,0.8,0.8,5.6,24.9,47,13.2,2.1,1.1,0.9,0.6,0.7,32927,68.2,58.7,"China",6374,12.8,3.9,90.7,5.4
"2",3002,"East Melbourne","England",3.6,1.2,1.4,1.6,7.8,45.9,23.8,6.2,2.9,1.9,1.7,2,5108,30.8,16.9,"England",414,4.9,6.2,79.1,14.7
"3",3003,"West Melbourne","China",3.3,1.7,1.5,3.8,16.1,54.7,14,2.2,0.8,0.7,1,0.3,4135,43.3,34.6,"China",394,6.1,6.5,88.6,5
"4",3006,"Southbank","China",3,1,0.9,3.8,19,52.8,14.8,2.2,1.4,0.6,0.5,0.2,13424,60.6,47.3,"China",1796,9,4.9,90.4,4.9
"5",3006,"South Wharf","China",0,0,0,1.3,13.3,69.3,16,0,0,0,0,0,75,34.7,28.6,"China",8,8.2,0,99.9,0
"6",3008,"Docklands","China",3.6,1.4,0.9,3.4,14.2,49.4,21.5,3.2,1.3,0.7,0.2,0.2,6640,56.1,43.2,"China",938,9.8,5.9,88.5,5.6
"7",3011,"Footscray","Vietnam",6,3.5,2.5,3.9,11.8,43.8,18.4,2.5,2.2,1.7,1.8,1.9,14149,52.9,45.3,"Vietnam",2500,10.9,12,77.9,10.1
"8",3011,"Seddon","Vietnam",9.3,4.7,3.7,2.9,6.9,43,21.6,2.1,2,1.9,1.1,0.7,5077,34,25.1,"Vietnam",550,6,17.7,74.4,7.8
"9",3012,"West Footscray","Vietnam",7.7,4.7,3.8,4.2,7.3,40.7,20.8,2.9,2.2,2,1.8,1.9,10946,42.7,36.3,"Vietnam",1652,8.7,16.2,73,10.8
"10",3012,"Maidstone","Vietnam",6.2,4.9,4.5,5.9,11.4,37.4,18.8,2.8,2.1,2.1,2,1.9,8295,50.5,45.8,"Vietnam",2346,16.5,15.6,73.5,10.9
"11",3012,"Brooklyn","Vietnam",6,2.5,4.3,3.6,8.4,37.4,23.4,3,2.4,4.2,2.7,2.1,1728,43.2,37.2,"Vietnam",158,5.2,12.8,72.8,14.4
"12",3012,"Kingsville","Vietnam",10.3,6,2.6,3,5.8,45,18.4,2.5,2.1,1.5,1.6,1.3,3737,32.3,23.8,"Vietnam",230,3.6,18.9,72.2,9
"13",3013,"Yarraville","England",8.2,5.7,4.2,4,5.5,39.9,21.5,2.6,2.5,2.1,2,1.9,14503,28.4,19.4,"England",934,3.6,18.1,70.9,11.1
"14",3015,"Newport","England",9,6.2,4.7,5,5.7,35.3,23.6,2.8,2.1,2,1.9,1.8,12653,24.1,15,"England",832,3.7,19.9,69.6,10.6
"15",3015,"Spotswood","England",7.1,4.9,3.6,5,7.6,39.3,22.9,2.9,2.3,1.7,0.7,1.7,2473,27.9,19.3,"England",160,3.6,15.6,74.8,9.3
"16",3015,"South Kingsville","England",8.2,4.7,3.5,3.3,6.5,41.7,21.6,2.9,2.6,1.2,1.8,2.1,1925,31.1,22.6,"England",106,3,16.4,73.1,10.6
"17",3016,"Williamstown","England",6.5,6.6,7.2,6.8,5.1,24.2,30.4,4,2.8,2.1,2.2,2,13830,21.6,11.3,"England",1414,5.6,20.3,66.5,13.1
"18",3016,"Williamstown North","England",3.8,6,5,4.9,7.9,27.6,29.6,4.3,3.5,3.1,2.1,2.2,1626,28.2,15,"England",166,5.5,14.8,70,15.2
"19",3018,"Altona","England",5.8,4.8,4.2,4.4,5.4,29.7,25.6,5.2,3.9,4.4,3.7,2.8,10429,32.1,19.7,"England",1100,5.8,14.8,65.1,20
"20",3018,"Seaholme","England",5.3,4.9,4.6,5.6,5,28.6,28.1,6.9,3.6,2.5,2.4,2.5,1957,31.1,19.5,"England",202,5.6,14.8,67.3,17.9
"21",3019,"Braybrook","Vietnam",8,6.4,5.8,6.8,9.1,33.2,20.5,2.6,2.3,2.2,1.7,1.2,8760,57.4,54.1,"Vietnam",3480,23.7,20.2,69.6,10
"22",3020,"Sunshine West","Vietnam",5.9,5.7,5.6,6.3,8.1,29,22.9,5.5,4.3,3.4,2,1.3,17878,55.4,51.4,"Vietnam",4284,13.7,17.2,66.3,16.5
"23",3020,"Sunshine","Vietnam",7.1,4.9,4.2,4.7,9,36.3,20.4,3,3,2.2,2.4,2.8,9365,51.1,46.3,"Vietnam",1978,12.2,16.2,70.4,13.4
"24",3020,"Sunshine North","Vietnam",6,5.5,6.3,6.7,7.6,29.4,23,4.1,3.5,3.2,2.5,2.3,11284,57.8,55.1,"Vietnam",4922,24.8,17.8,66.7,15.6
"25",3020,"Albion","India",6.7,4.9,4.2,4.7,10.2,38.9,19.7,3.8,2.5,2.2,1.3,0.9,4527,54.7,49.4,"India",1152,14.5,15.8,73.5,10.7
"26",3021,"St Albans","Vietnam",6.3,5.8,5.4,6.1,7.6,30.4,23.2,4.8,3.8,3.1,2,1.5,36838,62.1,59.1,"Vietnam",10998,17.1,17.5,67.3,15.2
"27",3021,"Kings Park","Vietnam",6.5,6.8,6.8,7,7.4,28.1,27,4.6,2.6,1.8,1,0.4,8779,56.3,53,"Vietnam",2120,13.8,20.1,69.5,10.4
"28",3021,"Albanvale","Vietnam",6.5,6.4,6.3,6.2,7.9,28.5,28.5,4.4,2.3,1.5,0.8,0.7,5482,50.8,47.3,"Vietnam",1176,12.1,19.2,71.1,9.7
"29",3021,"Kealba","Vietnam",7.2,4.4,6.3,8.1,8.2,27.9,29.1,4.1,1.9,1.6,0.4,0.9,3283,39,34.8,"Vietnam",436,7.3,17.9,73.3,8.9
"30",3022,"Ardeer","Vietnam",5.9,5.6,6,4.6,6.4,32.2,21.7,3.6,3.9,3,2.6,4.4,2936,48.3,42.3,"Vietnam",418,8.3,17.5,64.9,17.5
"31",3023,"Caroline Springs","Philippines",10.5,9.5,7.6,6.1,5.5,39.5,17.4,1.6,1.1,0.5,0.3,0.2,22029,39.2,33.2,"Philippines",2360,6,27.6,68.5,3.7
"32",3023,"Deer Park","Vietnam",8,6.1,5.7,5.7,7.8,35,22,3.8,2.5,1.6,1,0.7,17803,49.8,44.3,"Vietnam",2228,7.5,19.8,70.5,9.6
"33",3023,"Cairnlea","Vietnam",7.9,8.2,7.6,7.6,7.2,34.4,22.4,2.3,0.9,0.6,0.5,0.4,9673,53,50.1,"Vietnam",3132,18.6,23.7,71.6,4.7
"34",3023,"Burnside Heights","Philippines",11.3,8.6,7.1,5.8,6.1,43.3,15.4,0.9,0.6,0.4,0.3,0.1,5561,47.1,42.7,"Philippines",664,6.9,27,70.6,2.3
"35",3023,"Burnside","Philippines",7.4,8.2,6.9,6.2,5.5,28.9,24,3.3,2,2.4,2.7,2.5,4686,43.6,39.4,"Philippines",580,7,22.5,64.6,12.9
"36",3024,"Wyndham Vale","England",10.5,8.5,7.5,5.9,6.8,37.3,18.1,2.3,1.3,0.9,0.4,0.5,19366,26.4,17,"England",1282,4,26.5,68.1,5.4
"37",3025,"Altona North","Italy",7,5.6,5.2,5.4,5.8,29.5,18.9,4.9,5.5,5.2,3.8,3.1,12026,44.1,39.1,"Italy",1260,6,17.8,59.6,22.5
"38",3026,"Laverton North","New Zealand",0,0,2,3,6,23,54,4,7,0,0,1,100,25,7.8,"New Zealand",22,17.2,2,86,12
"39",3027,"Williams Landing","India",13.1,6.6,4.5,3.8,6.3,50.2,13.2,0.8,0.4,0.4,0.5,0,4079,50.2,40.5,"India",896,14.6,24.2,73.5,2.1
"40",3028,"Altona Meadows","India",6.2,5.1,5.2,6.5,8,30.7,27,3.8,2.8,2.2,1.3,1.1,19507,36.9,30.2,"India",1304,3.7,16.5,72.2,11.2
"41",3028,"Laverton","India",7.5,5.9,4.4,4.8,10.5,38.5,19.5,2.7,2.2,1.9,1.3,0.7,4592,49.3,41.5,"India",1140,15,17.8,73.3,8.8
"42",3028,"Seabrook","India",7.2,8.2,7.1,6.8,6.1,32,25.4,2.8,2,1.4,0.7,0.4,5201,32.6,26.1,"India",324,3.4,22.5,70.3,7.3
"43",3029,"Hoppers Crossing","India",6.5,6.6,6.9,8.1,8.1,27.9,26.9,3.7,2.2,1.5,1,0.7,39037,32.7,25.3,"India",3140,4.4,20,71,9.1
"44",3029,"Tarneit","India",11.4,8.5,6.4,6,7.7,41.4,14.8,1.6,1.1,0.6,0.3,0.2,25535,42,32.4,"India",3374,8.3,26.3,69.9,3.8
"45",3029,"Truganina","India",12.6,8,5.7,4.5,7.6,47.4,12.3,1,0.6,0.2,0.1,0.1,10720,47,37.3,"India",1684,9.9,26.3,71.8,2
"46",3030,"Werribee","England",6.6,6.2,6.3,7.2,7.7,28.8,25.3,3.8,2.7,2.1,1.7,1.7,39846,28.9,20.7,"England",2520,3.6,19.1,69,12
"47",3030,"Point Cook","India",12.4,9.2,6.4,4.7,5,44.3,15,1.4,0.8,0.4,0.2,0.1,37469,43.6,32,"India",3648,5.8,28,69,2.9
"48",3030,"Derrimut","Philippines",14.1,8.3,5.3,4.9,6.8,46.4,12.4,1,0.5,0,0.2,0.1,6765,50.6,45.5,"Philippines",1032,9.2,27.7,70.5,1.8
