POSTCODE,Suburb,Top country of birth,total,"Born overseas, %","Born in non-English speaking country, %",Top country of birth__1,"Top country of birth, persons","Top country of birth, %",AgeRang,percent,AgeGroup,AG_percent
3000,MELBOURNE,China,32927,68.2,58.7,China,6374,12.8,rang0n4,2.3,Children,3.9
3002,EAST MELBOURNE,England,5108,30.8,16.9,England,414,4.9,rang0n4,3.6,Children,6.2
3003,WEST MELBOURNE,China,4135,43.3,34.6,China,394,6.1,rang0n4,3.3,Children,6.5
3006,SOUTHBANK,China,13424,60.6,47.3,China,1796,9,rang0n4,3,Children,4.9
3006,SOUTH WHARF,China,75,34.7,28.6,China,8,8.2,rang0n4,0,Children,0
3008,DOCKLANDS,China,6640,56.1,43.2,China,938,9.8,rang0n4,3.6,Children,5.9
3011,FOOTSCRAY,Vietnam,14149,52.9,45.3,Vietnam,2500,10.9,rang0n4,6,Children,12
3011,SEDDON,Vietnam,5077,34,25.1,Vietnam,550,6,rang0n4,9.3,Children,17.7
3012,WEST FOOTSCRAY,Vietnam,10946,42.7,36.3,Vietnam,1652,8.7,rang0n4,7.7,Children,16.2
3012,MAIDSTONE,Vietnam,8295,50.5,45.8,Vietnam,2346,16.5,rang0n4,6.2,Children,15.6
3012,BROOKLYN,Vietnam,1728,43.2,37.2,Vietnam,158,5.2,rang0n4,6,Children,12.8
3012,KINGSVILLE,Vietnam,3737,32.3,23.8,Vietnam,230,3.6,rang0n4,10.3,Children,18.9
3013,YARRAVILLE,England,14503,28.4,19.4,England,934,3.6,rang0n4,8.2,Children,18.1
3015,NEWPORT,England,12653,24.1,15,England,832,3.7,rang0n4,9,Children,19.9
3015,SPOTSWOOD,England,2473,27.9,19.3,England,160,3.6,rang0n4,7.1,Children,15.6
3015,SOUTH KINGSVILLE,England,1925,31.1,22.6,England,106,3,rang0n4,8.2,Children,16.4
3016,WILLIAMSTOWN,England,13830,21.6,11.3,England,1414,5.6,rang0n4,6.5,Children,20.3
3016,WILLIAMSTOWN NORTH,England,1626,28.2,15,England,166,5.5,rang0n4,3.8,Children,14.8
3018,ALTONA,England,10429,32.1,19.7,England,1100,5.8,rang0n4,5.8,Children,14.8
3018,SEAHOLME,England,1957,31.1,19.5,England,202,5.6,rang0n4,5.3,Children,14.8
3019,BRAYBROOK,Vietnam,8760,57.4,54.1,Vietnam,3480,23.7,rang0n4,8,Children,20.2
3020,SUNSHINE WEST,Vietnam,17878,55.4,51.4,Vietnam,4284,13.7,rang0n4,5.9,Children,17.2
3020,SUNSHINE,Vietnam,9365,51.1,46.3,Vietnam,1978,12.2,rang0n4,7.1,Children,16.2
3020,SUNSHINE NORTH,Vietnam,11284,57.8,55.1,Vietnam,4922,24.8,rang0n4,6,Children,17.8
3020,ALBION,India,4527,54.7,49.4,India,1152,14.5,rang0n4,6.7,Children,15.8
3021,ST ALBANS,Vietnam,36838,62.1,59.1,Vietnam,10998,17.1,rang0n4,6.3,Children,17.5
3021,KINGS PARK,Vietnam,8779,56.3,53,Vietnam,2120,13.8,rang0n4,6.5,Children,20.1
3021,ALBANVALE,Vietnam,5482,50.8,47.3,Vietnam,1176,12.1,rang0n4,6.5,Children,19.2
3021,KEALBA,Vietnam,3283,39,34.8,Vietnam,436,7.3,rang0n4,7.2,Children,17.9
3022,ARDEER,Vietnam,2936,48.3,42.3,Vietnam,418,8.3,rang0n4,5.9,Children,17.5
3023,CAROLINE SPRINGS,Philippines,22029,39.2,33.2,Philippines,2360,6,rang0n4,10.5,Children,27.6
3023,DEER PARK,Vietnam,17803,49.8,44.3,Vietnam,2228,7.5,rang0n4,8,Children,19.8
3023,CAIRNLEA,Vietnam,9673,53,50.1,Vietnam,3132,18.6,rang0n4,7.9,Children,23.7
