Suburb,Population density 2015,year,population
BRUNSWICK,5102.6,2005,21384
BRUNSWICK EAST,4981.9,2005,7658
BRUNSWICK WEST,4589.1,2005,12609
COBURG,3990.4,2005,23998
PASCOE VALE SOUTH,3419.6,2005,9070
ALPHINGTON - FAIRFIELD,3108.7,2005,8032
NORTHCOTE,4219.6,2005,21817
THORNBURY,3863.4,2005,17193
ASCOT VALE,3995.1,2005,12782
ESSENDON - ABERFELDIE,3275.2,2005,24167
FLEMINGTON,6322.1,2005,8240
MOONEE PONDS,3394.4,2005,12971
CARLTON,9783.1,2005,11924
DOCKLANDS,2955.1,2005,3779
EAST MELBOURNE,1865.7,2005,4495
FLEMINGTON RACECOURSE,50.3,2005,56
KENSINGTON,5124.4,2005,8830
MELBOURNE,14114.8,2005,14292
NORTH MELBOURNE,6121.2,2005,13278
PARKVILLE,1820.8,2005,5157
SOUTH YARRA - WEST,4603.7,2005,5289
SOUTHBANK,5923.7,2005,9097
ALBERT PARK,3516.6,2005,13269
ELWOOD,6456.4,2005,14216
PORT MELBOURNE,6098.6,2005,13543
PORT MELBOURNE INDUSTRIAL,2.2,2005,9
SOUTH MELBOURNE,5072.1,2005,9532
ST KILDA,6965.1,2005,21537
ST KILDA EAST,7209,2005,15725
ARMADALE,4475.2,2005,8783
PRAHRAN - WINDSOR,7210.3,2005,17358
SOUTH YARRA - EAST,7936.9,2005,14110
TOORAK,3261.3,2005,13672
ABBOTSFORD,4339.1,2005,4498
CARLTON NORTH - PRINCES HILL,3945.1,2005,8525
COLLINGWOOD,6657.3,2005,5653
FITZROY,8265.8,2005,8961
FITZROY NORTH,5189.9,2005,11486
RICHMOND (VIC.),5030.8,2005,25510
YARRA - NORTH,1771.6,2005,7909
ASHBURTON (VIC.),2925.9,2005,7325
BALWYN,3016.4,2005,15694
BALWYN NORTH,2408.6,2005,20289
CAMBERWELL,3020.5,2005,20202
GLEN IRIS - EAST,3007.1,2005,15467
HAWTHORN,4232.6,2005,20326
HAWTHORN EAST,4129.4,2005,13505
KEW,2468.1,2005,23596
KEW EAST,1642.3,2005,6201
SURREY HILLS (WEST) - CANTERBURY,2935.7,2005,16122
BULLEEN,1754,2005,10920
DONCASTER,2312.1,2005,18562
DONCASTER EAST,2632.9,2005,27330
TEMPLESTOWE,1071,2005,17178
TEMPLESTOWE LOWER,2402.4,2005,13460
BLACKBURN,2518.5,2005,19210
BLACKBURN SOUTH,3115,2005,10530
BOX HILL,2832,2005,16109
BOX HILL NORTH,2914.1,2005,16038
BURWOOD,2407.3,2005,10048
BURWOOD EAST,2515.7,2005,10183
SURREY HILLS (EAST) - MONT ALBERT,3122.3,2005,9522
BEAUMARIS,2322.9,2005,12721
BRIGHTON (VIC.),2901.5,2005,21244
BRIGHTON EAST,3008.5,2005,15011
CHELTENHAM - HIGHETT (WEST),2136.8,2005,9750
HAMPTON,3245.3,2005,16326
SANDRINGHAM - BLACK ROCK,2640.2,2005,14821
BENTLEIGH - MCKINNON,3735.9,2005,20072
BENTLEIGH EAST,3173.9,2005,25009
CARNEGIE,4856.7,2005,15477
CAULFIELD - NORTH,3445.4,2005,19463
CAULFIELD - SOUTH,3850.3,2005,16262
ELSTERNWICK,4127.9,2005,10527
HUGHESDALE,3908.6,2005,6636
MURRUMBEENA,3809.9,2005,8387
ORMOND - GLEN HUNTLY,4644.7,2005,11288
ASPENDALE GARDENS - WATERWAYS,1776.5,2005,6971
BRAESIDE,2.2,2005,14
CARRUM - PATTERSON LAKES,2007.7,2005,10808
CHELSEA - BONBEACH,2621,2005,11849
CHELSEA HEIGHTS,1703,2005,5297
CHELTENHAM - HIGHETT (EAST),2594.2,2005,19817
EDITHVALE - ASPENDALE,2567.6,2005,11627
MENTONE,2971.5,2005,11524
MOORABBIN - HEATHERTON,764,2005,7707
MORDIALLOC - PARKDALE,2532.4,2005,17788
MALVERN - GLEN IRIS,3458.1,2005,18966
MALVERN EAST,2890,2005,20004
BUNDOORA - EAST,2423.5,2005,9193
GREENSBOROUGH,2094.9,2005,20656
HEIDELBERG - ROSANNA,2371.3,2005,12922
HEIDELBERG WEST,2256.4,2005,13224
IVANHOE,2388.8,2005,10545
IVANHOE EAST - EAGLEMONT,1925.3,2005,7747
MONTMORENCY - BRIAR HILL,1365.3,2005,15651
VIEWBANK - YALLAMBIE,1844.3,2005,18134
WATSONIA,2480.7,2005,9077
KINGSBURY,1271.6,2005,7986
PRESTON,2946.1,2005,28418
RESERVOIR - EAST,3034.9,2005,24318
RESERVOIR - WEST,2430.2,2005,22534
ELTHAM,1201.3,2005,24051
HURSTBRIDGE,239.5,2005,3656
KINGLAKE,12.3,2005,3927
PANTON HILL - ST ANDREWS,17.9,2005,5286
PLENTY - YARRAMBAT,329.4,2005,8476
RESEARCH - NORTH WARRANDYTE,137,2005,6846
WATTLE GLEN - DIAMOND CREEK,521.7,2005,12787
BUNDOORA - NORTH,1454.9,2005,4265
BUNDOORA - WEST,2534.8,2005,6638
EPPING,459,2005,19868
LALOR,1921.7,2005,20349
MILL PARK - NORTH,2282.9,2005,19053
MILL PARK - SOUTH,2468,2005,13384
SOUTH MORANG,992.9,2005,14066
THOMASTOWN,1460.1,2005,21570
WALLAN,29.9,2005,10044
WHITTLESEA,28.2,2005,6700
AIRPORT WEST,2115.4,2005,6870
KEILOR,495.3,2005,9000
KEILOR EAST,2485.6,2005,24954
NIDDRIE - ESSENDON WEST,2518.7,2005,6005
STRATHMORE,2371,2005,8907
GISBORNE,59.6,2005,9710
MACEDON,45.4,2005,3452
RIDDELLS CREEK,48,2005,3565
ROMSEY,14.7,2005,7989
COBURG NORTH,1542.6,2005,6273
FAWKNER,2807.3,2005,12167
GLENROY - HADFIELD,2326.4,2005,25828
PASCOE VALE,3352.1,2005,19153
SUNBURY,102,2005,11964
SUNBURY - SOUTH,197.5,2005,21966
BROADMEADOWS,1505.7,2005,11518
CAMPBELLFIELD - COOLAROO,937.7,2005,15917
CRAIGIEBURN - MICKLEHAM,455.4,2005,21500
GLADSTONE PARK - WESTMEADOWS,1278.3,2005,18165
GREENVALE - BULLA,148.7,2005,11601
MEADOW HEIGHTS,3403.2,2005,15213
MELBOURNE AIRPORT,5.2,2005,137
ROXBURGH PARK - SOMERTON,1895.4,2005,16472
TULLAMARINE,1752.3,2005,6581
BAYSWATER,1517.1,2005,10867
BORONIA - THE BASIN,1562.1,2005,24940
FERNTREE GULLY,1784.9,2005,27681
KNOXFIELD - SCORESBY,924.4,2005,13066
LYSTERFIELD,372.6,2005,6090
ROWVILLE - CENTRAL,1862.4,2005,16017
ROWVILLE - NORTH,1943.9,2005,7575
ROWVILLE - SOUTH,1194.4,2005,10493
WANTIRNA,1696.9,2005,14383
WANTIRNA SOUTH,1392,2005,18191
DONVALE - PARK ORCHARDS,781.4,2005,15878
WARRANDYTE - WONGA PARK,226.6,2005,10334
BAYSWATER NORTH,1212.9,2005,11203
CROYDON,1851.7,2005,28039
CROYDON HILLS - WARRANWOOD,2011.7,2005,18084
RINGWOOD,1744.4,2005,15211
RINGWOOD EAST,2212.4,2005,18470
RINGWOOD NORTH,2071.7,2005,9530
FOREST HILL,2666,2005,9976
MITCHAM (VIC.),2505.8,2005,14734
NUNAWADING,2348.3,2005,10466
VERMONT,2313.3,2005,9561
VERMONT SOUTH,1970.6,2005,11865
BELGRAVE - SELBY,183,2005,10565
CHIRNSIDE PARK,440.2,2005,9135
HEALESVILLE - YARRA GLEN,36.4,2005,12532
KILSYTH,1093.6,2005,8576
LILYDALE - COLDSTREAM,174.8,2005,16904
MONBULK - SILVAN,83.8,2005,5623
MONTROSE,667.7,2005,6738
MOOROOLBARK,1774.2,2005,19690
MOUNT DANDENONG - OLINDA,120.7,2005,9769
MOUNT EVELYN,567.9,2005,9357
UPWEY - TECOMA,1108.5,2005,10148
WANDIN - SEVILLE,69.5,2005,7241
YARRA VALLEY,22.1,2005,15788
BEACONSFIELD - OFFICER,282.2,2005,6306
BUNYIP - GARFIELD,22.7,2005,7766
EMERALD - COCKATOO,49.1,2005,17454
KOO WEE RUP,18.1,2005,5531
PAKENHAM - NORTH,477.8,2005,7000
PAKENHAM - SOUTH,556.6,2005,11197
BERWICK - NORTH,1196.7,2005,21209
BERWICK - SOUTH,1673.7,2005,15001
DOVETON,2185.8,2005,9769
ENDEAVOUR HILLS,1307.4,2005,27011
HALLAM,1366.5,2005,9855
NARRE WARREN,1920,2005,26272
NARRE WARREN NORTH,223.7,2005,6279
CRANBOURNE,1664.9,2005,14665
CRANBOURNE EAST,441.2,2005,3425
CRANBOURNE NORTH,1862.4,2005,9565
CRANBOURNE SOUTH,109.5,2005,4925
CRANBOURNE WEST,967.1,2005,7238
HAMPTON PARK - LYNBROOK,1923.3,2005,22485
LYNBROOK - LYNDHURST,2113,2005,4091
NARRE WARREN SOUTH,2317.4,2005,24494
PEARCEDALE - TOORADIN,78.5,2005,7537
CLARINDA - OAKLEIGH SOUTH,1943.1,2005,12367
CLAYTON SOUTH,1622,2005,10947
DANDENONG,494.8,2005,22980
DANDENONG NORTH,2470.9,2005,22815
DINGLEY VILLAGE,1438,2005,10375
KEYSBOROUGH,810,2005,17335
NOBLE PARK,3678,2005,26609
NOBLE PARK NORTH,2091.4,2005,7861
SPRINGVALE,1973.6,2005,18716
SPRINGVALE SOUTH,2809.5,2005,11738
ASHWOOD - CHADSTONE,2747.7,2005,15243
CLAYTON,2223.1,2005,15933
GLEN WAVERLEY - EAST,2383.5,2005,21086
GLEN WAVERLEY - WEST,2644.6,2005,18012
MOUNT WAVERLEY - NORTH,2516.5,2005,14612
