"","Suburb","Population.density.2015","year","population","POSTCODE"
"1","AIRPORT WEST",2115.4,2015,7869,3042
"2","AIRPORT WEST",2115.4,2013,7467,3042
"3","AIRPORT WEST",2115.4,2012,7342,3042
"4","AIRPORT WEST",2115.4,2014,7643,3042
"5","AIRPORT WEST",2115.4,2007,6920,3042
"6","AIRPORT WEST",2115.4,2011,7234,3042
"7","AIRPORT WEST",2115.4,2010,7175,3042
"8","AIRPORT WEST",2115.4,2005,6870,3042
"9","AIRPORT WEST",2115.4,2008,6983,3042
"10","AIRPORT WEST",2115.4,2009,7067,3042
"11","AIRPORT WEST",2115.4,2006,6878,3042
"12","ALBERT PARK",3516.6,2010,14595,3206
"13","ALBERT PARK",3516.6,2009,14245,3206
"14","ALBERT PARK",3516.6,2015,16442,3206
"15","ALBERT PARK",3516.6,2006,13550,3206
"16","ALBERT PARK",3516.6,2008,13928,3206
"17","ALBERT PARK",3516.6,2011,15009,3206
"18","ALBERT PARK",3516.6,2005,13269,3206
"19","ALBERT PARK",3516.6,2012,15167,3206
"20","ALBERT PARK",3516.6,2014,15869,3206
"21","ALBERT PARK",3516.6,2007,13731,3206
"22","ALBERT PARK",3516.6,2013,15327,3206
"23","ALFREDTON",191.5,2012,8876,3350
"24","ALFREDTON",191.5,2011,8452,3350
"25","ALFREDTON",191.5,2006,6761,3350
"26","ALFREDTON",191.5,2009,7614,3350
"27","ALFREDTON",191.5,2008,7272,3350
"28","ALFREDTON",191.5,2014,9787,3350
"29","ALFREDTON",191.5,2010,7894,3350
"30","ALFREDTON",191.5,2013,9342,3350
"31","ALFREDTON",191.5,2005,6648,3350
"32","ALFREDTON",191.5,2007,7034,3350
"33","ALFREDTON",191.5,2015,10095,3350
"34","ALTONA",749,2015,13246,3018
"35","ALTONA",749,2006,11857,3018
"36","ALTONA",749,2008,12041,3018
"37","ALTONA",749,2005,11864,3018
"38","ALTONA",749,2012,12430,3018
"39","ALTONA",749,2010,12213,3018
"40","ALTONA",749,2013,12677,3018
"41","ALTONA",749,2011,12260,3018
"42","ALTONA",749,2014,12966,3018
"43","ALTONA",749,2009,12152,3018
"44","ALTONA",749,2007,11915,3018
"45","ALTONA MEADOWS",1847,2015,19468,3028
"46","ALTONA MEADOWS",1847,2014,19444,3028
"47","ALTONA MEADOWS",1847,2010,19780,3028
"48","ALTONA MEADOWS",1847,2005,19379,3028
"49","ALTONA MEADOWS",1847,2012,19443,3028
"50","ALTONA MEADOWS",1847,2013,19371,3028
"51","ALTONA MEADOWS",1847,2009,19895,3028
"52","ALTONA MEADOWS",1847,2007,19707,3028
"53","ALTONA MEADOWS",1847,2008,19746,3028
"54","ALTONA MEADOWS",1847,2011,19565,3028
"55","ALTONA MEADOWS",1847,2006,19411,3028
"56","ALTONA NORTH",898.4,2013,14013,3025
"57","ALTONA NORTH",898.4,2011,13558,3025
"58","ALTONA NORTH",898.4,2009,13150,3025
"59","ALTONA NORTH",898.4,2006,12844,3025
"60","ALTONA NORTH",898.4,2005,12869,3025
"61","ALTONA NORTH",898.4,2010,13366,3025
"62","ALTONA NORTH",898.4,2015,14540,3025
"63","ALTONA NORTH",898.4,2007,12877,3025
"64","ALTONA NORTH",898.4,2008,12974,3025
"65","ALTONA NORTH",898.4,2014,14297,3025
"66","ALTONA NORTH",898.4,2012,13793,3025
"67","ARMADALE",4475.2,2005,8783,3143
"68","ARMADALE",4475.2,2007,8990,3143
"69","ARMADALE",4475.2,2015,9769,3143
"70","ARMADALE",4475.2,2008,9148,3143
"71","ARMADALE",4475.2,2010,9318,3143
"72","ARMADALE",4475.2,2014,9583,3143
"73","ARMADALE",4475.2,2011,9301,3143
"74","ARMADALE",4475.2,2013,9446,3143
"75","ARMADALE",4475.2,2012,9363,3143
"76","ARMADALE",4475.2,2006,8863,3143
"77","ARMADALE",4475.2,2009,9260,3143
"78","ASCOT VALE",3995.1,2006,12890,3032
"79","ASCOT VALE",3995.1,2012,14405,3032
"80","ASCOT VALE",3995.1,2014,14936,3032
"81","ASCOT VALE",3995.1,2008,13671,3032
"82","ASCOT VALE",3995.1,2009,13914,3032
"83","ASCOT VALE",3995.1,2015,15325,3032
"84","ASCOT VALE",3995.1,2011,14135,3032
