Suburb,year,price
ABBOTSFORD,2005,427000
ABERFELDIE,2005,534000
AIREYS INLET,2005,459000
AIRPORT WEST,2005,311500
ALBANVALE,2005,210000
ALBERT PARK,2005,681000
ALBION,2005,216000
ALEXANDRA,2005,200000
ALFREDTON,2005,283000
ALLANSFORD,2005,210000
ALPHINGTON,2005,552500
ALTONA,2005,330000
ALTONA EAST,2005,295000
ALTONA MEADOWS,2005,232000
ALTONA NORTH,2005,277000
ANGLESEA,2005,391000
APOLLO BAY,2005,350000
ARARAT,2005,148000
ARDEER,2005,206000
ARMADALE,2005,801000
ARMSTRONG CREEK,2005,-
ARTHURS SEAT,2005,370000
ASCOT (BENDIGO),2005,285000
ASCOT VALE,2005,425000
ASHBURTON,2005,517500
ASHWOOD,2005,381000
ASPENDALE,2005,365000
ASPENDALE GARDENS,2005,377000
ATTWOOD,2005,291000
AVENEL,2005,184000
AVOCA,2005,133500
AVONDALE HEIGHTS,2005,315000
AVONSLEIGH,2005,265000
BACCHUS MARSH,2005,228000
BADGER CREEK,2005,201000
BAIRNSDALE,2005,195500
BALACLAVA,2005,495000
BALCOMBE,2005,450500
BALLAN,2005,200000
BALLARAT CENTRAL,2005,227000
BALLARAT EAST,2005,177500
BALLARAT NORTH,2005,217000
BALNARRING,2005,290000
BALNARRING BEACH,2005,470000
BALWYN,2005,746500
BALWYN NORTH,2005,605000
BANDIANA,2005,108000
BANNOCKBURN,2005,300000
BARANDUDA,2005,280000
BARWON HEADS,2005,376000
BAXTER,2005,215000
BAYSWATER,2005,270500
BAYSWATER NORTH,2005,274000
BEACONSFIELD,2005,328000
BEACONSFIELD UPPER,2005,322500
BEAUFORT,2005,113500
BEAUMARIS,2005,667500
BEECHWORTH,2005,231500
BELGRAVE,2005,262500
BELGRAVE HEIGHTS,2005,287500
BELGRAVE SOUTH,2005,275000
BELL PARK,2005,218000
BELL POST HILL,2005,230000
BELLBRIDGE,2005,250000
BELLFIELD (GREATER MELBOURNE),2005,305000
BELMONT,2005,240000
BENALLA,2005,185000
BENDIGO,2005,200000
BENTLEIGH,2005,502000
BENTLEIGH EAST,2005,401500
BERWICK,2005,292000
BEVERIDGE,2005,280000
BIRCHIP,2005,70000
BIRREGURRA,2005,172000
BITTERN,2005,230000
BLACK HILL,2005,229000
BLACK ROCK,2005,790000
BLACKBURN,2005,422500
BLACKBURN NORTH,2005,362000
BLACKBURN SOUTH,2005,380000
BLACKWOOD,2005,189000
BLAIRGOWRIE,2005,350000
BLIND BIGHT,2005,235000
BONBEACH,2005,365500
BONNIE DOON,2005,190000
BOOLARRA,2005,162500
BOORT,2005,110000
BORONIA,2005,270000
BOTANIC RIDGE,2005,-
BOX HILL,2005,487000
BOX HILL NORTH,2005,396000
BOX HILL SOUTH,2005,400000
BRAYBROOK,2005,220000
BREAKWATER,2005,194000
BRIAGOLONG,2005,155000
BRIAR HILL,2005,341000
BRIDGEWATER ON LODDON,2005,130000
BRIGHT,2005,271000
BRIGHTON,2005,1100000
BRIGHTON EAST,2005,712000
BROADFORD,2005,190000
BROADMEADOWS,2005,205000
BROOKFIELD,2005,269000
BROOKLYN,2005,265000
BROWN HILL,2005,185000
BRUNSWICK,2005,395000
BRUNSWICK EAST,2005,386500
BRUNSWICK WEST,2005,394500
BULLEEN,2005,410000
BUNDALONG,2005,254000
BUNDOORA,2005,295000
BUNINYONG,2005,243000
BUNYIP,2005,211000
BURNLEY,2005,471500
BURNSIDE,2005,274000
BURNSIDE HEIGHTS,2005,308000
BURWOOD,2005,447500
BURWOOD EAST,2005,370000
CAIRNLEA,2005,330000
CALIFORNIA GULLY,2005,175000
CAMBERWELL,2005,732000
CAMPBELLFIELD,2005,248000
CAMPBELLS CREEK,2005,205000
CAMPERDOWN,2005,162500
CANADIAN,2005,237000
CANTERBURY,2005,1006000
CAPE PATERSON,2005,266500
CAPE SCHANCK,2005,352500
CARDIGAN VILLAGE,2005,175000
CARISBROOK,2005,157000
CARLTON,2005,455000
CARLTON NORTH,2005,540000
CARNEGIE,2005,493000
CAROLINE SPRINGS,2005,285000
CARRUM,2005,305000
CARRUM DOWNS,2005,230000
CASTERTON,2005,90000
CASTLEMAINE,2005,217500
CAULFIELD,2005,640000
CAULFIELD EAST,2005,490000
CAULFIELD NORTH,2005,780000
CAULFIELD SOUTH,2005,575000
CHADSTONE,2005,357500
CHARLTON,2005,109500
CHELSEA,2005,332000
CHELSEA HEIGHTS,2005,307000
CHELTENHAM,2005,389500
CHELTENHAM EAST,2005,370000
CHELTENHAM NORTH,2005,352500
CHEWTON,2005,207500
CHILTERN,2005,178000
CHIRNSIDE PARK,2005,305000
CHUM CREEK,2005,225000
CHURCHILL,2005,120000
CLARINDA,2005,320000
CLAYTON,2005,331500
CLAYTON NORTH,2005,381500
CLAYTON SOUTH,2005,300000
CLIFTON HILL,2005,492500
CLIFTON SPRINGS,2005,244500
CLUNES,2005,147500
CLYDE,2005,222000
CLYDE NORTH,2005,-
COBDEN,2005,165000
COBRAM,2005,182500
COBURG,2005,365000
COBURG EAST,2005,300000
COBURG NORTH,2005,285000
COCKATOO,2005,220000
COHUNA,2005,130000
COLAC,2005,180000
COLDSTREAM,2005,250000
COLERAINE,2005,107500
COLLINGWOOD,2005,419000
CONNEWARRE,2005,255000
COOLAROO,2005,195000
COONANS HILL,2005,355000
CORINELLA,2005,226000
CORIO,2005,165000
CORONET BAY,2005,175000
CORRYONG,2005,110000
COWES,2005,322500
COWES WEST,2005,246000
CRAIGIEBURN,2005,240000
CRANBOURNE,2005,208000
CRANBOURNE EAST,2005,260000
CRANBOURNE NORTH,2005,227000
CRANBOURNE WEST,2005,215500
CREMORNE,2005,442000
CRESWICK,2005,184000
CRIB POINT,2005,221000
CROYDON,2005,285000
